session,filename,duration,duration_seconds,normalization_db,peak_db,true_peak_db,clips,tp_clips,lufs_m_max,lufs_s_max,lufs_i,lra,stats_file
"2022.03.25 -- Baltic sea pier in Sopot, Poland",3OA_ZM1_SopotPier.wav,11:25.000,685.0,,-0.5,-0.5,0,0,-26.6,12.2,-35.0,12.200000000000003,3OA_ZM1_SopotPier.render_stats.html
"2023.12.07 -- piano, bass, vocal, violin, percussives",3OA_ZM1_band.wav,8:17.665,497.665,,-0.5,-0.5,0,0,-9.7,11.4,-16.08,11.399999999999999,3OA_ZM1_band.render_stats.html
2019.04.12 -- the passion concert,3OA_ZM1_PassionConcert.wav,1:19:32.517,4772.517,,-0.5,-0.5,0,0,-12.0,22.0,-20.75,22.000000000000004,3OA_ZM1_PassionConcert.render_stats.html
2021.03.27 -- piano recording,3OA_ZM1_CDebussy-Wrzosy.wav,3:36.000,216.0,,-5.7,-5.7,0,0,-17.7,15.9,-24.02,15.900000000000002,3OA_ZM1_CDebussy-Wrzosy.render_stats.html
2021.03.27 -- piano recording,3OA_ZM1_EGrieg-LetniWieczor.wav,2:58.986,178.986,,-2.0,-2.0,0,0,-14.2,17.6,-24.01,17.6,3OA_ZM1_EGrieg-LetniWieczor.render_stats.html
2021.03.27 -- piano recording,3OA_ZM1_ORespighi-Notturno.wav,6:30.000,390.0,,-0.8,-0.8,0,0,-13.5,19.2,-21.92,19.2,3OA_ZM1_ORespighi-Notturno.render_stats.html
2021.03.27 -- piano recording,3OA_ZM1_PGrainger-BridalLullaby.wav,3:12.000,192.0,,-7.3,-7.3,0,0,-19.2,12.2,-25.3,12.199999999999996,3OA_ZM1_PGrainger-BridalLullaby.render_stats.html
2021.06.27 -- choir recording,1OA_NTSF1_IDenisova-CherubicHymn.wav,4:03.000,243.0,2.4,0.0,0.0,0,0,-24.1,-14.6,-24.13,20.3,1OA_NTSF1_IDenisova-CherubicHymn.render_stats.html
2021.06.27 -- choir recording,1OA_NTSF1_JJunek-BogoroditseDevo.wav,3:31.500,211.5,2.4,0.0,0.0,0,0,-19.5,-11.6,-19.51,18.1,1OA_NTSF1_JJunek-BogoroditseDevo.render_stats.html
2021.06.27 -- choir recording,1OA_NTSF1_JMaklakiewicz-Kołysanka.wav,2:34.500,154.5,2.4,0.0,0.0,0,0,-23.2,-14.4,-23.18,19.700000000000003,1OA_NTSF1_JMaklakiewicz-Kołysanka.render_stats.html
2021.06.27 -- choir recording,1OA_NTSF1_MRaczynski-LaudateDominum.wav,3:12.000,192.0,2.4,0.0,0.0,0,0,-18.9,-8.4,-18.92,18.7,1OA_NTSF1_MRaczynski-LaudateDominum.render_stats.html
2021.06.27 -- choir recording,1OA_NTSF1_VMiskinis-OSalutarisHostia.wav,3:19.000,199.0,2.4,0.0,0.0,0,0,-18.8,-11.0,-18.78,20.499999999999996,1OA_NTSF1_VMiskinis-OSalutarisHostia.render_stats.html
2021.06.27 -- choir recording,3OA_ZM1_IDenisova-CherubicHymn.wav,4:03.000,243.0,,-5.8,-5.8,0,0,-14.9,16.6,-25.45,16.6,3OA_ZM1_IDenisova-CherubicHymn.render_stats.html
2021.06.27 -- choir recording,3OA_ZM1_JJunek-BogoroditseDevo.wav,3:31.500,211.5,,-2.9,-2.9,0,0,-10.3,17.7,-19.84,17.699999999999996,3OA_ZM1_JJunek-BogoroditseDevo.render_stats.html
2021.06.27 -- choir recording,3OA_ZM1_JMaklakiewicz-Kołysanka.wav,2:34.500,154.5,,-5.7,-5.7,0,0,-15.2,18.4,-24.45,18.4,3OA_ZM1_JMaklakiewicz-Kołysanka.render_stats.html
2021.06.27 -- choir recording,3OA_ZM1_MRaczynski-LaudateDominum.wav,3:12.000,192.0,,-1.2,-1.2,0,0,-7.6,17.9,-18.82,17.9,3OA_ZM1_MRaczynski-LaudateDominum.render_stats.html
2021.06.27 -- choir recording,3OA_ZM1_VMiskinis-OSalutarisHostia.wav,3:19.000,199.0,,-3.8,-3.8,0,0,-10.5,21.1,-18.9,21.1,3OA_ZM1_VMiskinis-OSalutarisHostia.render_stats.html
2022.03.10 -- WETI Faculty 70 jubilee concert,3OA_ZM1_JubileeConcertPt1.wav,28:20.500,1700.5,,-7.1,-7.1,0,0,-15.9,22.8,-27.28,22.799999999999997,3OA_ZM1_JubileeConcertPt1.render_stats.html
2022.03.10 -- WETI Faculty 70 jubilee concert,3OA_ZM1_JubileeConcertPt2.wav,39:10.000,2350.0,,-0.5,-0.5,0,0,-13.0,18.3,-23.83,18.299999999999997,3OA_ZM1_JubileeConcertPt2.render_stats.html
2022.04.13-14 -- piano recording,3OA_ZM1_FChopin-Revolutionary.wav,2:30.000,150.0,,-2.9,-2.9,0,0,-15.7,10.2,-19.28,10.2,3OA_ZM1_FChopin-Revolutionary.render_stats.html
2022.04.13-14 -- piano recording,3OA_ZM1_JHaydn-Sonata1.wav,6:59.000,419.0,,-7.5,-7.5,0,0,-20.1,17.1,-27.29,17.1,3OA_ZM1_JHaydn-Sonata1.render_stats.html
2022.04.13-14 -- piano recording,3OA_ZM1_JHaydn-Sonata2.wav,6:59.000,419.0,,-0.5,-0.5,0,0,-15.4,10.7,-20.23,10.7,3OA_ZM1_JHaydn-Sonata2.render_stats.html
2022.04.13-14 -- piano recording,3OA_ZM1_JHaydn-Sonata3.wav,4:17.000,257.0,,-6.9,-6.9,0,0,-18.7,10.4,-24.23,10.400000000000002,3OA_ZM1_JHaydn-Sonata3.render_stats.html
2022.04.13-14 -- piano recording,3OA_ZM1_JSBach-PreludeFuge1.wav,13:28.000,808.0,,-8.1,-8.1,0,0,-20.4,14.6,-27.38,14.600000000000001,3OA_ZM1_JSBach-PreludeFuge1.render_stats.html
2022.04.13-14 -- piano recording,3OA_ZM1_JSBach-PreludeFuge2.wav,4:19.000,259.0,,-9.1,-9.1,0,0,-21.7,14.0,-27.72,14.0,3OA_ZM1_JSBach-PreludeFuge2.render_stats.html
2022.04.13-14 -- piano recording,3OA_ZM1_MRavel-Valse.wav,13:04.000,784.0,,-1.1,-1.1,0,0,-13.0,15.6,-20.36,15.6,3OA_ZM1_MRavel-Valse.render_stats.html
2022.04.21 -- charity concert for Ukraine,3OA_ZM1_CharityConcert01.wav,7:30.000,450.0,,-0.5,-0.5,0,0,-8.7,16.0,-16.26,16.0,3OA_ZM1_CharityConcert01.render_stats.html
2022.04.21 -- charity concert for Ukraine,3OA_ZM1_CharityConcert02.wav,5:48.000,348.0,,-0.5,-0.5,0,0,-11.0,11.9,-17.56,11.9,3OA_ZM1_CharityConcert02.render_stats.html
2022.04.21 -- charity concert for Ukraine,3OA_ZM1_CharityConcert03.wav,5:48.000,348.0,,-0.5,-0.5,0,0,-10.9,22.2,-20.01,22.2,3OA_ZM1_CharityConcert03.render_stats.html
2022.04.21 -- charity concert for Ukraine,3OA_ZM1_CharityConcert04.wav,5:20.000,320.0,,-0.5,-0.5,0,0,-9.5,19.5,-17.76,19.5,3OA_ZM1_CharityConcert04.render_stats.html
2022.04.21 -- charity concert for Ukraine,3OA_ZM1_CharityConcert05.wav,13:36.000,816.0,,-0.5,-0.5,0,0,-8.9,17.6,-19.21,17.6,3OA_ZM1_CharityConcert05.render_stats.html
2022.04.21 -- charity concert for Ukraine,3OA_ZM1_CharityConcert06.wav,7:36.000,456.0,,-0.5,-0.5,0,0,-11.5,22.7,-15.34,22.7,3OA_ZM1_CharityConcert06.render_stats.html
2022.06.27 -- piano recording,3OA_ZM1_FChopin-Revolutionary.wav,2:42.000,162.0,,-0.5,-0.5,0,0,-13.8,12.8,-17.66,12.799999999999999,3OA_ZM1_FChopin-Revolutionary.render_stats.html
2022.06.27 -- piano recording,3OA_ZM1_FLiszt-PaganiniVariations.wav,5:30.000,330.0,,-1.2,-1.2,0,0,-11.1,14.4,-16.96,14.400000000000002,3OA_ZM1_FLiszt-PaganiniVariations.render_stats.html
2022.06.27 -- piano recording,3OA_ZM1_JSBach-PreludeFugeC.wav,4:14.000,254.0,,-8.4,-8.4,0,0,-19.7,14.2,-26.44,14.200000000000003,3OA_ZM1_JSBach-PreludeFugeC.render_stats.html
2022.06.27 -- piano recording,3OA_ZM1_LvBeethoven-Sonata.wav,20:26.000,1226.0,,-1.8,-1.8,0,0,-13.2,17.8,-21.64,17.799999999999997,3OA_ZM1_LvBeethoven-Sonata.render_stats.html
2022.06.27 -- piano recording,3OA_ZM1_SRachmaninov-Prelude.wav,5:58.000,358.0,,-1.9,-1.9,0,0,-14.4,23.2,-21.14,23.199999999999996,3OA_ZM1_SRachmaninov-Prelude.render_stats.html
2023.02.21 -- carnival concert,3OA_ZM1_Concert.wav,1:26:36.783,5196.783,,-0.5,-0.5,0,0,-12.4,19.6,-21.43,19.599999999999998,3OA_ZM1_Concert.render_stats.html
2023.06.03 -- Deus Ex Machina,1OA_NTSF1_JNeske-DeusExMachina.wav,4:20.000,260.0,-0.2,-0.5,-0.5,0,0,19.8,19.8,-18.18,19.799999999999997,1OA_NTSF1_JNeske-DeusExMachina.render_stats.html
2023.06.03 -- Deus Ex Machina,3OA_ZM1_JNeske-DeusExMachina.wav,4:20.000,260.0,1.9,-0.5,-0.5,0,0,17.8,17.8,-17.27,17.799999999999997,3OA_ZM1_JNeske-DeusExMachina.render_stats.html
2023.06.17 -- choir concert,3OA_ZM1_ChoirConcert.wav,1:21:44.000,4904.0,,-0.5,-0.5,0,0,-17.5,14.6,-26.06,14.599999999999998,3OA_ZM1_ChoirConcert.render_stats.html
2023.08.04 -- piano recording,3OA_ZM1_CDebussy-Canope.wav,3:45.184,225.184,,-15.8,-15.8,0,0,-29.8,16.5,-35.31,16.5,3OA_ZM1_CDebussy-Canope.render_stats.html
2023.08.04 -- piano recording,3OA_ZM1_CDebussy-Feux.wav,4:47.181,287.181,,-0.5,-0.5,0,0,-14.2,20.9,-20.36,20.900000000000002,3OA_ZM1_CDebussy-Feux.render_stats.html
