venue,city,latitude,longitude,content_type
Polska Filharmonia Bałtycka (Polish Baltic Philharmonic),Gdańsk,54.3523,18.6597,choir
"Hol przed Aulą Politechniki Gdańskiej (Hall in front of Main Aula, Gdańsk University of Technology)",Gdańsk,54.3717,18.6193,choir_with_orchestra
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,choir
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,piano_duet
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,solo_piano
Fiqu Miqu Studio,Gdynia,54.5244,18.5427,ensemble
Agrotourism barn - styrofoam cave film set,Jędrzejewo,52.9168,16.3744,vr_film_production
Kamieniołom Piechcin (Piechcin Quarry),Piechcin,52.8153,18.0163,vr_film_production
Kościół Świętej Trójcy (Holy Trinity Church),Gdańsk,54.3458,18.6471,orchestra
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,solo_piano
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,solo_piano
Akademia Muzyczna im. Stanisława Moniuszki w Gdańsku - Sala Koncertowa (aMuz Main Concert Hall),Gdańsk,54.345,18.6627,solo_piano
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,ensemble
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,solo_piano
"Hol przed Aulą Politechniki Gdańskiej (Hall in front of Main Aula, Gdańsk University of Technology)",Gdańsk,54.3717,18.6193,choir_with_ensemble
Baltic Sea Pier,Sopot,54.4486,18.5782,ambient
Archikatedra Oliwska (Oliwa Cathedral),Gdańsk,54.411,18.5585,choir
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,choir
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,solo_piano
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,solo_piano
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,chamber
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,choir_with_soloists
Aula Politechniki Gdańskiej (Main Aula of Gdańsk University of Technology),Gdańsk,54.3717,18.6193,solo_piano
