t_start_s,zm1_order0_dBFS,zm1_order1_dBFS,zm1_order2_dBFS,zm1_order3_dBFS,spcmic_order0_dBFS,spcmic_order1_dBFS,spcmic_order2_dBFS,spcmic_order3_dBFS,diff_order0_dB,diff_order1_dB,diff_order2_dB,diff_order3_dB
0.0,-63.673,-78.808,-87.491,-89.056,-62.837,-65.986,-70.443,-71.310,-0.836,-12.822,-17.048,-17.746
1.0,-64.256,-79.159,-87.597,-89.095,-70.872,-68.457,-76.526,-79.252,6.616,-10.702,-11.070,-9.843
2.0,-64.351,-79.073,-87.341,-89.101,-71.412,-69.033,-75.660,-79.845,7.060,-10.040,-11.681,-9.256
3.0,-56.065,-67.744,-85.517,-88.717,-66.977,-67.765,-73.504,-75.443,10.912,0.021,-12.013,-13.274
4.0,-38.618,-46.995,-66.546,-75.200,-63.313,-65.613,-70.211,-71.767,24.695,18.619,3.665,-3.433
5.0,-37.352,-44.745,-64.275,-77.257,-69.884,-62.634,-76.745,-78.199,32.532,17.889,12.470,0.942
6.0,-32.507,-42.481,-59.248,-71.871,-69.986,-61.607,-76.841,-78.290,37.478,19.126,17.593,6.418
7.0,-26.822,-36.924,-54.344,-65.482,-70.054,-62.960,-76.925,-78.362,43.232,26.037,22.581,12.880
8.0,-30.895,-39.433,-57.478,-66.769,-71.133,-66.076,-77.995,-79.432,40.238,26.643,20.517,12.663
9.0,-31.580,-41.682,-57.513,-65.729,-70.922,-68.009,-77.775,-79.158,39.342,26.327,20.262,13.428
10.0,-33.225,-43.537,-58.538,-69.512,-71.684,-68.993,-78.498,-79.864,38.459,25.455,19.960,10.352
11.0,-31.960,-42.083,-60.785,-72.959,-55.502,-59.592,-62.480,-63.969,23.542,17.509,1.695,-8.990
12.0,-32.176,-41.054,-59.402,-72.674,-40.262,-45.232,-46.743,-48.705,8.086,4.178,-12.659,-23.969
13.0,-33.339,-43.616,-61.815,-75.240,-38.975,-42.632,-45.675,-47.460,5.636,-0.984,-16.140,-27.779
14.0,-32.041,-43.934,-63.346,-77.630,-34.497,-39.617,-41.216,-42.967,2.456,-4.317,-22.130,-34.663
15.0,-28.402,-38.640,-57.491,-67.668,-31.276,-36.807,-37.919,-39.729,2.874,-1.832,-19.571,-27.938
16.0,-30.751,-39.489,-56.002,-63.366,-34.523,-38.651,-41.551,-42.979,3.772,-0.838,-14.451,-20.387
17.0,-27.411,-36.908,-52.033,-60.198,-32.849,-40.681,-40.405,-41.181,5.439,3.773,-11.628,-19.017
18.0,-24.388,-34.214,-51.076,-60.408,-37.035,-44.420,-43.457,-45.432,12.647,10.206,-7.619,-14.976
19.0,-29.224,-38.024,-52.285,-62.060,-35.150,-39.654,-41.513,-43.604,5.926,1.630,-10.772,-18.456
20.0,-29.090,-35.243,-49.404,-57.762,-37.891,-41.081,-44.744,-46.361,8.801,5.838,-4.660,-11.401
21.0,-31.561,-39.832,-56.388,-66.003,-36.806,-42.194,-43.841,-45.248,5.245,2.362,-12.547,-20.756
22.0,-30.042,-37.734,-52.179,-64.273,-34.234,-39.536,-41.038,-42.682,4.192,1.802,-11.142,-21.591
23.0,-30.275,-39.404,-54.849,-67.711,-34.120,-40.203,-41.190,-42.526,3.846,0.799,-13.658,-25.185
24.0,-31.042,-38.852,-56.516,-69.760,-33.741,-38.056,-40.162,-42.202,2.699,-0.796,-16.354,-27.558
25.0,-28.192,-38.444,-53.585,-64.249,-28.800,-35.727,-36.202,-37.139,0.607,-2.717,-17.383,-27.110
26.0,-26.614,-34.152,-48.391,-56.832,-28.322,-33.618,-35.169,-36.786,1.707,-0.534,-13.222,-20.046
27.0,-25.736,-34.250,-47.302,-56.736,-30.677,-35.313,-38.868,-39.044,4.941,1.064,-8.434,-17.692
28.0,-27.643,-33.982,-44.646,-54.574,-31.129,-36.763,-39.070,-39.491,3.486,2.782,-5.576,-15.082
29.0,-26.415,-34.930,-44.869,-54.812,-33.946,-38.379,-39.890,-42.460,7.530,3.449,-4.979,-12.352
30.0,-23.944,-33.431,-48.355,-56.398,-33.589,-37.910,-40.323,-42.022,9.644,4.480,-8.032,-14.376
31.0,-26.459,-35.088,-49.986,-57.927,-33.454,-38.065,-40.624,-41.900,6.995,2.976,-9.362,-16.026
32.0,-29.771,-40.000,-53.772,-64.596,-33.889,-38.278,-41.227,-42.334,4.118,-1.722,-12.545,-22.262
33.0,-30.659,-39.328,-53.914,-65.949,-31.837,-36.257,-39.361,-40.236,1.178,-3.071,-14.554,-25.712
34.0,-35.196,-42.294,-56.913,-69.628,-28.931,-32.661,-35.641,-37.387,-6.265,-9.633,-21.271,-32.240
35.0,-35.052,-42.642,-61.450,-73.510,-29.138,-33.335,-35.431,-37.636,-5.914,-9.307,-26.018,-35.874
36.0,-34.638,-42.774,-60.318,-75.149,-27.695,-33.047,-35.187,-36.212,-6.943,-9.727,-25.131,-38.937
37.0,-30.999,-41.249,-58.628,-72.878,-29.067,-33.377,-35.586,-37.560,-1.933,-7.872,-23.043,-35.318
38.0,-33.206,-43.877,-61.812,-76.706,-28.574,-32.312,-35.304,-37.026,-4.632,-11.565,-26.508,-39.681
39.0,-39.544,-49.876,-73.589,-86.379,-31.714,-35.776,-38.685,-40.138,-7.830,-14.100,-34.904,-46.240
40.0,-43.801,-54.345,-75.270,-88.294,-33.300,-38.572,-40.534,-41.698,-10.500,-15.772,-34.735,-46.596
41.0,-47.085,-58.534,-80.243,-88.603,-33.598,-37.836,-40.185,-42.150,-13.487,-20.698,-40.058,-46.452
42.0,-63.054,-76.137,-87.397,-89.182,-36.970,-41.113,-43.852,-45.431,-26.084,-35.024,-43.545,-43.751
43.0,-34.215,-39.888,-43.012,-51.200,-37.135,-41.546,-45.120,-45.502,2.919,1.658,2.109,-5.699
44.0,-27.224,-35.146,-41.618,-49.352,-37.612,-41.395,-44.894,-46.042,10.388,6.249,3.277,-3.310
45.0,-27.026,-32.220,-37.058,-47.921,-36.342,-40.515,-43.120,-44.821,9.316,8.295,6.062,-3.100
46.0,-36.675,-44.096,-51.316,-59.984,-38.605,-43.076,-45.827,-47.062,1.930,-1.020,-5.489,-12.922
47.0,-46.422,-52.847,-64.980,-76.003,-47.195,-49.999,-54.089,-55.653,0.773,-2.847,-10.891,-20.350
48.0,-38.614,-45.118,-50.664,-62.007,-48.233,-53.709,-54.855,-56.707,9.618,8.591,4.190,-5.300
49.0,-33.017,-41.267,-48.227,-61.492,-53.187,-59.350,-59.846,-61.673,20.171,18.083,11.619,0.182
50.0,-33.940,-42.494,-50.356,-63.235,-71.533,-67.985,-78.356,-79.822,37.592,25.491,27.999,16.587
51.0,-41.305,-49.767,-64.307,-76.892,-31.359,-36.872,-35.736,-40.692,-9.946,-12.895,-28.570,-36.200
52.0,-50.081,-56.919,-74.304,-86.843,-27.754,-31.476,-33.748,-36.258,-22.327,-25.443,-40.556,-50.585
53.0,-41.800,-49.532,-56.522,-74.416,-29.483,-32.295,-35.673,-38.143,-12.317,-17.236,-20.849,-36.273
54.0,-31.639,-37.384,-46.115,-60.333,-39.382,-43.774,-46.892,-47.819,7.744,6.390,0.777,-12.514
55.0,-26.443,-34.902,-47.585,-57.965,-51.374,-55.516,-58.978,-59.777,24.931,20.614,11.393,1.812
56.0,-19.714,-27.857,-41.862,-49.994,-37.696,-43.538,-44.243,-46.428,17.982,15.682,2.381,-3.566
57.0,-18.772,-26.852,-40.872,-48.582,-35.442,-39.257,-41.826,-44.143,16.670,12.405,0.955,-4.438
58.0,-21.581,-30.835,-41.972,-49.977,-37.913,-41.538,-43.209,-46.614,16.332,10.703,1.237,-3.362
59.0,-22.155,-28.721,-42.538,-50.656,-45.319,-49.410,-51.968,-53.778,23.164,20.689,9.431,3.122
60.0,-27.920,-36.499,-51.020,-60.606,-56.900,-59.422,-63.564,-65.348,28.980,22.923,12.544,4.742
61.0,-21.516,-32.114,-46.222,-52.858,-35.931,-43.105,-45.751,-44.230,14.415,10.990,-0.471,-8.627
62.0,-21.018,-29.874,-42.351,-49.474,-31.533,-36.550,-40.002,-39.952,10.515,6.676,-2.349,-9.522
63.0,-29.655,-35.798,-51.195,-57.437,-27.712,-32.185,-33.783,-36.229,-1.944,-3.612,-17.412,-21.208
64.0,-25.122,-35.296,-48.780,-58.629,-21.035,-26.219,-28.421,-29.428,-4.087,-9.077,-20.359,-29.201
65.0,-27.376,-35.133,-51.492,-59.395,-22.809,-26.887,-28.630,-31.279,-4.566,-8.247,-22.862,-28.116
66.0,-37.513,-47.587,-64.131,-74.303,-24.673,-29.852,-31.922,-33.091,-12.840,-17.735,-32.209,-41.212
67.0,-20.977,-31.467,-44.608,-51.863,-24.565,-28.824,-33.382,-32.866,3.589,-2.643,-11.225,-18.997
68.0,-25.317,-32.938,-46.604,-53.553,-34.604,-38.192,-42.406,-42.950,9.287,5.254,-4.197,-10.603
69.0,-34.440,-42.522,-58.469,-65.327,-25.392,-29.814,-32.056,-33.865,-9.048,-12.708,-26.413,-31.461
70.0,-31.531,-42.222,-57.590,-71.020,-24.485,-28.791,-30.873,-32.951,-7.046,-13.431,-26.717,-38.070
71.0,-32.725,-41.415,-59.520,-71.811,-35.730,-38.810,-42.457,-44.167,3.006,-2.605,-17.063,-27.643
72.0,-36.279,-47.126,-66.961,-78.871,-28.711,-32.898,-35.851,-37.143,-7.568,-14.228,-31.110,-41.728
73.0,-50.592,-59.204,-76.902,-86.689,-33.090,-36.301,-40.180,-41.576,-17.502,-22.903,-36.722,-45.113
74.0,-64.483,-79.126,-87.625,-89.213,-31.002,-36.335,-37.730,-39.510,-33.481,-42.791,-49.895,-49.703
75.0,-45.395,-56.350,-74.563,-87.285,-25.830,-30.171,-32.405,-34.287,-19.566,-26.178,-42.158,-52.998
76.0,-41.172,-51.614,-74.997,-86.478,-30.580,-33.084,-36.919,-39.036,-10.592,-18.530,-38.078,-47.442
77.0,-37.376,-47.136,-67.597,-83.764,-42.327,-45.995,-49.525,-50.825,4.950,-1.140,-18.072,-32.940
78.0,-31.346,-40.399,-60.448,-71.793,-35.515,-40.230,-42.604,-43.954,4.169,-0.170,-17.844,-27.840
79.0,-27.516,-37.558,-54.550,-63.799,-38.030,-41.174,-45.117,-46.492,10.514,3.616,-9.434,-17.307
80.0,-33.882,-42.369,-63.198,-71.733,-42.240,-47.184,-48.919,-50.768,8.358,4.814,-14.279,-20.965
81.0,-35.868,-44.499,-65.364,-76.064,-59.733,-61.641,-66.942,-68.182,23.865,17.142,1.578,-7.883
82.0,-30.202,-40.734,-59.638,-71.144,-71.847,-69.440,-78.693,-80.123,41.646,28.706,19.055,8.979
83.0,-32.732,-42.588,-62.271,-73.951,-48.513,-54.460,-55.141,-56.982,15.781,11.872,-7.129,-16.969
84.0,-35.121,-43.489,-65.980,-77.467,-43.335,-47.274,-50.271,-51.812,8.215,3.785,-15.709,-25.655
85.0,-32.331,-39.738,-58.541,-66.939,-42.571,-46.180,-49.673,-51.032,10.240,6.443,-8.868,-15.907
86.0,-25.878,-34.229,-50.083,-58.152,-33.197,-38.097,-40.180,-41.586,7.319,3.867,-9.903,-16.566
87.0,-30.266,-38.384,-55.570,-67.185,-31.632,-38.313,-38.677,-40.017,1.365,-0.071,-16.893,-27.168
88.0,-34.550,-43.356,-62.317,-74.287,-38.407,-42.797,-44.933,-46.846,3.857,-0.559,-17.384,-27.441
89.0,-31.404,-39.352,-53.664,-65.394,-38.248,-42.942,-44.917,-46.694,6.844,3.591,-8.747,-18.701
90.0,-32.960,-41.097,-56.423,-69.273,-34.214,-40.163,-41.172,-42.611,1.254,-0.934,-15.251,-26.662
91.0,-42.030,-48.092,-65.996,-79.824,-36.620,-41.931,-43.424,-45.028,-5.410,-6.162,-22.572,-34.796
92.0,-50.529,-57.791,-74.700,-86.637,-41.623,-44.481,-48.219,-50.071,-8.906,-13.310,-26.481,-36.566
93.0,-62.347,-75.888,-86.580,-88.990,-34.738,-37.349,-41.704,-43.135,-27.609,-38.539,-44.875,-45.856
94.0,-57.504,-66.775,-86.022,-88.820,-27.650,-34.676,-35.555,-35.959,-29.854,-32.099,-50.467,-52.862
95.0,-45.175,-50.375,-60.763,-78.021,-34.996,-39.739,-42.377,-43.358,-10.179,-10.636,-18.387,-34.663
96.0,-34.387,-41.253,-56.727,-69.790,-36.955,-41.769,-44.306,-45.336,2.568,0.516,-12.422,-24.454
97.0,-33.209,-39.682,-54.436,-68.339,-32.996,-39.058,-42.096,-41.334,-0.212,-0.624,-12.340,-27.005
98.0,-31.770,-38.582,-50.391,-64.872,-36.133,-40.361,-43.629,-44.598,4.364,1.779,-6.762,-20.274
99.0,-32.754,-41.052,-55.014,-68.756,-45.315,-49.386,-52.345,-53.735,12.560,8.334,-2.669,-15.021
100.0,-33.139,-40.435,-48.459,-61.815,-55.571,-60.577,-63.694,-63.991,22.432,20.142,15.235,2.176
101.0,-34.013,-42.917,-58.336,-71.209,-70.672,-68.495,-77.565,-78.897,36.658,25.578,19.229,7.688
102.0,-35.347,-43.535,-55.339,-71.813,-49.789,-53.252,-56.612,-58.201,14.443,9.717,1.272,-13.612
103.0,-30.675,-40.540,-58.399,-72.733,-41.168,-46.193,-48.978,-49.525,10.493,5.653,-9.421,-23.208
104.0,-31.045,-41.286,-59.824,-72.957,-33.797,-39.104,-42.136,-42.148,2.752,-2.182,-17.688,-30.809
105.0,-34.290,-40.995,-54.305,-68.153,-34.089,-38.688,-41.494,-42.545,-0.201,-2.307,-12.812,-25.608
106.0,-33.388,-39.241,-52.964,-62.447,-32.914,-37.592,-40.944,-41.307,-0.474,-1.648,-12.019,-21.140
107.0,-29.430,-36.509,-47.410,-57.595,-35.304,-40.114,-42.365,-43.695,5.873,3.605,-5.045,-13.900
108.0,-25.792,-33.903,-46.258,-55.640,-36.150,-39.231,-40.921,-44.813,10.359,5.328,-5.338,-10.828
109.0,-27.138,-35.591,-48.020,-57.634,-36.757,-41.646,-43.120,-45.203,9.620,6.056,-4.901,-12.431
110.0,-33.494,-41.142,-47.071,-58.163,-36.774,-42.616,-44.150,-45.236,3.279,1.474,-2.921,-12.926
111.0,-30.462,-38.834,-49.545,-62.065,-34.130,-39.364,-41.100,-42.577,3.667,0.530,-8.445,-19.488
112.0,-30.880,-37.632,-49.573,-62.097,-35.377,-40.425,-41.974,-43.825,4.498,2.793,-7.600,-18.272
113.0,-30.138,-37.374,-51.009,-59.603,-35.552,-40.004,-42.050,-44.017,5.414,2.630,-8.959,-15.586
114.0,-25.394,-35.540,-51.136,-60.000,-33.325,-36.177,-39.859,-41.756,7.931,0.638,-11.277,-18.244
115.0,-23.512,-32.165,-45.059,-55.316,-30.161,-34.525,-35.609,-38.762,6.649,2.360,-9.449,-16.554
116.0,-25.676,-32.718,-44.394,-53.568,-28.787,-33.171,-35.235,-37.237,3.111,0.453,-9.159,-16.331
