t_start_s,zm1_order0_dBFS,zm1_order1_dBFS,zm1_order2_dBFS,zm1_order3_dBFS,spcmic_order0_dBFS,spcmic_order1_dBFS,spcmic_order2_dBFS,spcmic_order3_dBFS,diff_order0_dB,diff_order1_dB,diff_order2_dB,diff_order3_dB
0.0,-59.012,-75.153,-87.677,-89.340,-43.642,-47.532,-50.379,-52.128,-15.369,-27.621,-37.297,-37.212
1.0,-55.513,-67.461,-82.557,-86.206,-40.855,-44.016,-47.659,-49.342,-14.657,-23.445,-34.899,-36.865
2.0,-62.164,-78.392,-86.562,-88.300,-36.358,-40.926,-43.211,-44.817,-25.806,-37.467,-43.350,-43.483
3.0,-64.011,-78.135,-86.631,-88.460,-38.361,-42.109,-45.250,-46.851,-25.651,-36.026,-41.380,-41.609
4.0,-63.986,-78.839,-87.800,-89.317,-35.346,-38.500,-42.001,-43.870,-28.639,-40.339,-45.800,-45.446
5.0,-63.080,-79.291,-87.787,-89.327,-35.385,-38.678,-41.938,-43.909,-27.695,-40.613,-45.849,-45.418
6.0,-63.197,-78.834,-87.793,-89.384,-36.075,-40.228,-42.660,-44.554,-27.122,-38.606,-45.134,-44.829
7.0,-38.374,-50.899,-73.982,-85.759,-34.954,-38.693,-41.781,-43.433,-3.419,-12.206,-32.200,-42.326
8.0,-36.678,-48.536,-70.377,-85.447,-32.567,-37.153,-39.349,-41.041,-4.111,-11.382,-31.027,-44.406
9.0,-35.206,-45.236,-63.497,-76.793,-33.040,-37.855,-39.827,-41.561,-2.166,-7.380,-23.669,-35.232
10.0,-30.480,-41.831,-59.449,-71.322,-33.649,-36.387,-40.410,-42.167,3.169,-5.444,-19.039,-29.155
11.0,-32.795,-43.603,-61.770,-73.118,-30.191,-34.757,-36.775,-38.626,-2.605,-8.846,-24.995,-34.492
12.0,-30.325,-39.863,-58.247,-68.498,-27.470,-32.551,-34.205,-35.900,-2.856,-7.312,-24.042,-32.598
13.0,-31.272,-39.797,-56.138,-66.395,-28.633,-33.355,-34.002,-37.250,-2.640,-6.442,-22.136,-29.145
14.0,-31.149,-42.184,-59.639,-70.110,-29.675,-33.363,-33.234,-38.365,-1.474,-8.821,-26.405,-31.745
15.0,-29.635,-39.865,-55.593,-66.439,-31.562,-36.142,-38.089,-40.033,1.927,-3.723,-17.504,-26.406
16.0,-27.019,-38.230,-54.179,-64.024,-33.061,-37.363,-40.194,-41.487,6.042,-0.867,-13.984,-22.537
17.0,-27.363,-38.564,-55.884,-65.395,-35.281,-38.552,-42.222,-43.719,7.918,-0.012,-13.661,-21.676
18.0,-29.466,-38.073,-53.993,-62.878,-33.256,-37.482,-40.246,-41.709,3.790,-0.591,-13.748,-21.169
19.0,-25.300,-35.071,-51.435,-61.884,-34.794,-37.360,-41.141,-43.286,9.494,2.289,-10.294,-18.598
20.0,-23.081,-32.888,-49.575,-57.572,-40.819,-43.749,-46.163,-49.268,17.738,10.861,-3.412,-8.304
21.0,-28.596,-34.915,-46.080,-57.155,-36.400,-41.467,-43.455,-44.866,7.804,6.551,-2.625,-12.289
22.0,-28.762,-34.946,-46.664,-59.863,-32.319,-37.318,-39.296,-40.799,3.557,2.372,-7.368,-19.063
23.0,-26.934,-36.475,-52.101,-63.287,-35.217,-37.768,-41.857,-43.701,8.283,1.293,-10.243,-19.586
24.0,-28.816,-38.881,-54.339,-64.473,-35.461,-37.139,-41.877,-43.960,6.645,-1.742,-12.462,-20.513
25.0,-29.486,-39.336,-55.360,-66.317,-34.734,-38.562,-41.596,-43.188,5.247,-0.775,-13.764,-23.129
26.0,-27.951,-38.918,-53.517,-63.421,-37.595,-41.213,-44.342,-46.068,9.644,2.296,-9.176,-17.353
27.0,-30.892,-38.650,-56.974,-66.714,-35.293,-40.099,-42.166,-43.781,4.401,1.449,-14.808,-22.933
28.0,-36.940,-44.248,-60.711,-74.222,-34.654,-39.065,-41.477,-43.145,-2.286,-5.183,-19.234,-31.077
29.0,-30.901,-42.782,-59.500,-72.326,-33.639,-38.494,-40.214,-42.141,2.737,-4.288,-19.286,-30.185
30.0,-27.138,-39.450,-53.918,-65.594,-39.331,-43.177,-45.829,-47.819,12.193,3.726,-8.089,-17.775
31.0,-30.804,-38.114,-55.589,-64.158,-39.971,-44.274,-46.833,-48.403,9.167,6.159,-8.755,-15.755
32.0,-32.802,-38.660,-55.547,-63.602,-40.832,-45.427,-47.666,-49.296,8.030,6.767,-7.881,-14.306
33.0,-30.116,-39.804,-57.130,-67.942,-42.799,-47.104,-49.443,-51.279,12.683,7.300,-7.688,-16.663
34.0,-31.710,-42.935,-60.714,-71.676,-35.476,-39.589,-40.783,-43.931,3.766,-3.346,-19.931,-27.745
35.0,-30.083,-41.711,-58.008,-69.187,-29.979,-36.227,-37.717,-38.338,-0.104,-5.484,-20.292,-30.849
36.0,-29.921,-40.462,-56.141,-67.302,-26.850,-31.565,-34.614,-35.274,-3.071,-8.897,-21.527,-32.028
37.0,-28.628,-40.209,-56.682,-69.238,-25.758,-29.786,-30.579,-34.434,-2.869,-10.424,-26.103,-34.804
38.0,-34.859,-44.544,-63.300,-76.194,-29.527,-33.351,-35.889,-38.105,-5.332,-11.193,-27.411,-38.089
39.0,-34.839,-45.906,-65.674,-79.224,-32.202,-35.466,-39.401,-40.649,-2.637,-10.440,-26.274,-38.576
40.0,-35.593,-47.310,-67.085,-81.918,-33.957,-38.002,-40.926,-42.408,-1.636,-9.309,-26.159,-39.510
41.0,-37.930,-49.633,-67.897,-82.093,-31.703,-36.220,-38.300,-40.137,-6.227,-13.414,-29.597,-41.956
42.0,-33.296,-39.697,-54.398,-65.438,-30.935,-34.003,-38.019,-39.362,-2.361,-5.693,-16.379,-26.076
43.0,-28.181,-36.545,-49.820,-58.509,-27.988,-32.248,-34.941,-36.399,-0.194,-4.296,-14.879,-22.110
44.0,-25.499,-32.223,-45.485,-54.326,-26.543,-30.751,-32.522,-35.015,1.044,-1.472,-12.963,-19.311
45.0,-24.455,-31.036,-40.581,-52.678,-26.031,-30.792,-33.351,-34.454,1.576,-0.244,-7.230,-18.223
46.0,-28.035,-35.008,-46.748,-55.238,-23.867,-28.123,-30.857,-32.310,-4.168,-6.886,-15.891,-22.927
47.0,-29.090,-35.603,-48.969,-59.151,-23.303,-27.939,-29.645,-31.949,-5.787,-7.665,-19.324,-27.202
48.0,-30.868,-39.060,-56.879,-66.410,-25.677,-31.256,-33.732,-33.950,-5.190,-7.804,-23.147,-32.460
49.0,-27.784,-36.043,-52.647,-62.018,-30.082,-33.469,-36.427,-38.545,2.298,-2.574,-16.220,-23.473
50.0,-27.805,-33.951,-49.139,-58.008,-33.522,-38.047,-38.572,-42.142,5.717,4.096,-10.568,-15.866
51.0,-23.840,-31.787,-47.976,-55.905,-32.242,-37.173,-38.881,-40.687,8.402,5.386,-9.095,-15.217
52.0,-24.565,-31.426,-41.721,-51.353,-29.105,-33.451,-36.034,-37.530,4.540,2.024,-5.687,-13.823
53.0,-24.428,-31.705,-41.283,-51.515,-28.569,-32.271,-35.752,-36.995,4.141,0.567,-5.532,-14.520
54.0,-22.992,-29.021,-38.799,-48.222,-28.088,-33.023,-34.954,-36.515,5.096,4.002,-3.845,-11.707
55.0,-22.972,-29.194,-34.656,-41.043,-29.547,-33.349,-36.252,-38.007,6.575,4.156,1.596,-3.035
56.0,-25.414,-31.697,-38.280,-49.283,-26.144,-31.018,-33.134,-34.624,0.730,-0.678,-5.146,-14.659
57.0,-27.513,-34.961,-45.677,-56.970,-26.403,-30.553,-33.478,-34.860,-1.110,-4.408,-12.198,-22.110
58.0,-32.138,-40.880,-51.029,-63.386,-24.719,-29.277,-31.385,-33.179,-7.419,-11.603,-19.644,-30.206
59.0,-27.717,-37.030,-54.628,-64.460,-25.868,-30.855,-32.482,-34.345,-1.849,-6.176,-22.145,-30.115
60.0,-24.347,-33.025,-48.042,-56.385,-26.450,-31.002,-33.138,-35.006,2.103,-2.022,-14.904,-21.379
61.0,-25.287,-33.247,-48.472,-57.804,-25.131,-30.382,-31.910,-33.620,-0.156,-2.865,-16.562,-24.183
62.0,-23.460,-33.061,-50.382,-59.022,-23.969,-28.909,-30.774,-32.422,0.509,-4.152,-19.608,-26.600
63.0,-24.262,-34.206,-49.443,-57.252,-22.787,-27.701,-28.436,-31.303,-1.475,-6.505,-21.007,-25.950
64.0,-22.441,-32.609,-45.973,-53.405,-23.254,-27.224,-28.097,-32.003,0.813,-5.385,-17.877,-21.402
65.0,-22.096,-31.209,-46.067,-53.309,-26.190,-29.440,-31.932,-34.708,4.093,-1.768,-14.135,-18.601
66.0,-19.872,-29.894,-43.251,-50.479,-30.289,-34.234,-37.100,-38.765,10.416,4.340,-6.150,-11.714
67.0,-21.832,-32.256,-43.830,-51.116,-29.587,-34.128,-36.361,-37.997,7.755,1.872,-7.469,-13.118
68.0,-20.987,-32.662,-43.910,-51.355,-29.709,-34.597,-36.702,-38.166,8.722,1.935,-7.209,-13.189
69.0,-20.250,-31.809,-44.469,-51.356,-34.162,-39.306,-40.834,-42.651,13.912,7.496,-3.635,-8.705
70.0,-20.055,-29.647,-41.718,-49.113,-40.093,-44.449,-46.606,-48.588,20.039,14.802,4.888,-0.526
71.0,-22.140,-28.690,-39.199,-49.004,-33.802,-38.252,-40.574,-42.291,11.662,9.562,1.375,-6.713
72.0,-23.600,-29.184,-34.863,-46.372,-38.895,-43.626,-45.792,-47.387,15.295,14.442,10.929,1.015
73.0,-26.997,-31.796,-37.506,-48.477,-36.613,-40.779,-43.353,-45.132,9.616,8.982,5.847,-3.345
74.0,-26.578,-33.600,-47.416,-55.465,-43.253,-47.095,-50.163,-51.723,16.675,13.495,2.748,-3.741
75.0,-26.247,-34.957,-50.931,-59.134,-36.447,-40.811,-43.511,-44.844,10.201,5.854,-7.421,-14.290
76.0,-24.983,-35.988,-51.097,-60.172,-36.103,-40.596,-43.062,-44.533,11.120,4.608,-8.035,-15.639
77.0,-30.516,-42.219,-57.011,-66.514,-36.134,-40.090,-43.100,-44.560,5.618,-2.129,-13.911,-21.954
78.0,-33.773,-44.761,-58.626,-69.173,-33.007,-37.603,-40.081,-41.448,-0.765,-7.158,-18.545,-27.725
79.0,-28.817,-40.203,-54.518,-65.255,-33.306,-36.638,-40.520,-41.746,4.489,-3.565,-13.998,-23.509
80.0,-34.211,-44.740,-60.242,-70.950,-35.343,-39.366,-43.008,-43.730,1.132,-5.374,-17.234,-27.220
81.0,-32.428,-42.039,-58.530,-67.528,-29.874,-33.269,-35.575,-38.287,-2.554,-8.770,-22.955,-29.241
82.0,-37.926,-49.088,-64.265,-76.396,-31.869,-35.095,-38.562,-40.322,-6.057,-13.994,-25.703,-36.074
83.0,-32.363,-41.445,-58.299,-69.877,-30.668,-35.372,-37.153,-39.175,-1.695,-6.072,-21.146,-30.702
84.0,-33.676,-42.877,-58.591,-71.861,-29.777,-34.154,-36.390,-38.227,-3.899,-8.723,-22.200,-33.635
85.0,-31.951,-40.664,-56.298,-67.962,-33.432,-37.868,-38.966,-41.922,1.482,-2.796,-17.332,-26.040
86.0,-30.979,-39.289,-54.366,-63.907,-31.646,-36.212,-38.306,-40.188,0.667,-3.077,-16.061,-23.719
87.0,-28.350,-36.453,-52.281,-62.491,-28.459,-33.271,-36.285,-36.817,0.109,-3.182,-15.996,-25.673
88.0,-31.091,-40.512,-55.990,-67.028,-32.391,-38.132,-40.150,-40.750,1.299,-2.380,-15.840,-26.277
89.0,-26.277,-35.043,-43.498,-55.382,-32.393,-35.846,-39.115,-40.868,6.117,0.803,-4.382,-14.515
90.0,-27.603,-35.102,-48.742,-56.918,-31.381,-36.365,-38.264,-39.818,3.779,1.263,-10.479,-17.099
91.0,-26.419,-36.116,-51.378,-59.755,-34.937,-39.785,-42.049,-43.419,8.518,3.670,-9.329,-16.337
92.0,-25.834,-34.858,-53.130,-61.792,-32.249,-37.195,-39.532,-40.697,6.415,2.337,-13.598,-21.095
93.0,-30.291,-38.889,-52.660,-62.937,-32.894,-36.797,-39.527,-41.344,2.603,-2.092,-13.133,-21.593
94.0,-27.735,-37.899,-49.723,-60.384,-29.669,-32.895,-36.806,-38.106,1.934,-5.004,-12.917,-22.277
95.0,-26.358,-34.517,-49.554,-57.529,-32.754,-37.177,-40.292,-41.173,6.397,2.660,-9.261,-16.356
96.0,-29.993,-39.297,-54.575,-64.662,-27.785,-31.320,-33.427,-36.191,-2.209,-7.977,-21.149,-28.471
97.0,-28.019,-37.158,-51.890,-59.308,-27.742,-31.436,-34.393,-36.228,-0.277,-5.722,-17.497,-23.080
98.0,-27.624,-37.533,-53.698,-64.724,-25.960,-30.222,-32.703,-34.419,-1.664,-7.311,-20.995,-30.305
99.0,-31.186,-40.322,-49.723,-63.341,-24.798,-28.265,-31.324,-33.567,-6.388,-12.058,-18.399,-29.774
