t_start_s,order0_dBFS,order1_dBFS
0.0,-74.363,-62.679
1.0,-73.709,-64.360
2.0,-74.222,-65.807
3.0,-60.540,-60.912
4.0,-40.417,-45.514
5.0,-39.888,-42.931
6.0,-36.664,-40.604
7.0,-31.201,-35.311
8.0,-33.407,-38.058
9.0,-36.244,-39.672
10.0,-38.406,-41.034
11.0,-35.306,-40.355
12.0,-36.605,-40.036
13.0,-38.680,-41.798
14.0,-37.553,-41.870
15.0,-32.814,-37.506
16.0,-33.631,-37.863
17.0,-32.117,-34.815
18.0,-28.817,-32.552
19.0,-34.258,-36.302
20.0,-29.975,-33.653
21.0,-33.968,-38.882
22.0,-33.350,-36.811
23.0,-33.348,-37.630
24.0,-34.097,-37.751
25.0,-33.137,-36.721
26.0,-29.356,-32.325
27.0,-28.670,-32.608
28.0,-28.197,-31.770
29.0,-30.685,-33.109
30.0,-28.678,-31.976
31.0,-30.882,-33.994
32.0,-34.342,-38.160
33.0,-33.924,-37.289
34.0,-36.986,-39.131
35.0,-36.880,-40.858
36.0,-37.397,-41.664
37.0,-37.219,-40.271
38.0,-39.018,-42.568
39.0,-46.654,-49.572
40.0,-50.143,-52.944
41.0,-54.101,-56.710
42.0,-72.966,-69.313
43.0,-36.148,-34.768
44.0,-29.810,-32.110
45.0,-28.343,-28.396
46.0,-38.543,-41.044
47.0,-48.040,-50.888
48.0,-40.152,-41.853
49.0,-36.568,-37.768
50.0,-37.970,-39.060
51.0,-44.102,-47.520
52.0,-52.844,-55.934
53.0,-44.469,-46.543
54.0,-32.395,-34.019
55.0,-29.491,-32.799
56.0,-22.417,-26.013
57.0,-21.333,-25.113
58.0,-25.725,-28.121
59.0,-24.445,-26.940
60.0,-31.907,-35.366
61.0,-26.121,-31.024
62.0,-24.612,-27.390
63.0,-32.344,-35.049
64.0,-29.343,-33.341
65.0,-30.690,-34.206
66.0,-43.401,-46.831
67.0,-25.758,-29.722
68.0,-28.157,-30.898
69.0,-38.697,-42.059
70.0,-36.146,-40.661
71.0,-37.198,-40.293
72.0,-40.939,-46.899
73.0,-56.833,-58.133
74.0,-74.527,-69.631
75.0,-51.148,-54.661
76.0,-47.604,-49.955
77.0,-42.216,-45.628
78.0,-34.867,-39.139
79.0,-32.644,-36.005
80.0,-36.937,-41.475
81.0,-38.260,-43.252
82.0,-35.315,-39.596
83.0,-37.125,-40.921
84.0,-38.313,-42.679
85.0,-34.425,-38.537
86.0,-29.733,-32.726
87.0,-33.577,-37.421
88.0,-39.562,-42.263
89.0,-33.734,-36.679
90.0,-35.069,-38.985
91.0,-44.132,-46.596
92.0,-53.710,-54.961
93.0,-71.611,-65.612
94.0,-63.246,-62.062
95.0,-45.651,-44.228
96.0,-35.445,-39.217
97.0,-34.078,-38.058
98.0,-32.550,-35.760
99.0,-36.879,-38.084
100.0,-36.254,-37.492
101.0,-37.405,-40.924
102.0,-38.625,-40.969
103.0,-34.245,-39.084
104.0,-35.950,-39.936
105.0,-35.995,-38.638
106.0,-34.628,-36.199
107.0,-31.773,-33.769
108.0,-28.621,-31.588
109.0,-31.114,-33.292
110.0,-34.681,-37.380
111.0,-32.967,-35.872
112.0,-33.234,-35.062
113.0,-32.574,-35.152
114.0,-29.941,-33.721
115.0,-27.132,-30.634
116.0,-29.034,-30.473
117.0,-23.668,-26.528
118.0,-26.251,-30.367
119.0,-25.582,-29.385
120.0,-27.124,-30.849
121.0,-27.010,-30.114
122.0,-29.352,-32.902
123.0,-28.932,-32.026
124.0,-28.101,-30.898
125.0,-29.831,-33.170
126.0,-32.856,-35.201
127.0,-35.877,-37.862
128.0,-37.744,-40.289
129.0,-40.581,-42.675
130.0,-34.899,-39.197
