t_start_s,order0_dBFS,order1_dBFS
0.0,-45.219,-48.451
1.0,-41.360,-44.252
2.0,-37.555,-40.532
3.0,-39.004,-42.081
4.0,-34.825,-38.695
5.0,-34.762,-38.051
6.0,-36.339,-40.285
7.0,-35.480,-38.493
8.0,-33.883,-36.806
9.0,-33.493,-37.845
10.0,-33.240,-35.893
11.0,-30.228,-33.843
12.0,-28.107,-31.977
13.0,-29.798,-32.934
14.0,-30.056,-33.366
15.0,-31.372,-35.643
16.0,-34.376,-36.700
17.0,-35.466,-38.294
18.0,-34.186,-37.237
19.0,-34.872,-37.335
20.0,-39.368,-42.644
21.0,-37.972,-41.192
22.0,-33.492,-37.353
23.0,-34.958,-37.363
24.0,-34.874,-37.166
25.0,-34.747,-38.297
26.0,-38.438,-41.686
27.0,-36.965,-40.406
28.0,-36.134,-39.299
29.0,-34.925,-38.746
30.0,-39.546,-43.233
31.0,-40.954,-44.320
32.0,-42.362,-45.804
33.0,-44.096,-47.472
34.0,-35.408,-37.763
35.0,-31.936,-34.508
36.0,-26.963,-30.129
37.0,-25.878,-29.008
38.0,-29.271,-32.527
39.0,-31.190,-34.126
40.0,-33.825,-37.070
41.0,-31.129,-35.159
42.0,-29.567,-32.834
43.0,-27.092,-31.163
44.0,-26.924,-28.248
45.0,-26.764,-28.988
46.0,-23.486,-26.681
47.0,-24.451,-26.386
48.0,-27.380,-28.834
49.0,-29.613,-32.176
50.0,-34.594,-37.557
51.0,-31.785,-36.167
52.0,-28.257,-32.364
53.0,-27.872,-31.545
54.0,-28.145,-32.332
55.0,-30.053,-32.981
56.0,-27.259,-30.645
57.0,-26.548,-29.814
58.0,-25.531,-28.709
59.0,-27.009,-30.283
60.0,-27.118,-30.982
61.0,-26.056,-30.316
62.0,-24.579,-27.595
63.0,-23.632,-27.090
64.0,-22.994,-26.011
65.0,-24.765,-28.582
66.0,-29.353,-32.440
67.0,-29.546,-33.274
68.0,-30.905,-34.276
69.0,-35.924,-39.530
70.0,-40.885,-44.323
71.0,-35.266,-38.579
72.0,-40.634,-43.450
73.0,-35.962,-40.818
74.0,-44.344,-47.554
75.0,-36.625,-39.830
76.0,-37.255,-39.514
77.0,-36.236,-39.146
78.0,-33.421,-36.554
79.0,-32.186,-35.819
80.0,-36.503,-38.552
81.0,-27.975,-32.987
