t_start_s,order0_dBFS,order1_dBFS,order2_dBFS,order3_dBFS,order4_dBFS,order5_dBFS
0.0,-62.571,-63.814,-67.229,-71.248,-72.232,-71.433
1.0,-69.271,-66.870,-75.552,-79.334,-80.111,-80.388
2.0,-70.215,-69.104,-77.678,-81.741,-82.041,-83.763
3.0,-66.310,-66.063,-68.706,-70.784,-71.941,-74.401
4.0,-62.915,-64.684,-70.073,-72.593,-73.583,-75.465
5.0,-66.407,-61.538,-74.173,-78.632,-78.496,-81.284
6.0,-67.827,-59.645,-76.037,-79.553,-79.604,-81.941
7.0,-68.704,-61.306,-75.956,-79.626,-79.984,-82.060
8.0,-69.758,-64.027,-77.284,-80.585,-80.933,-82.598
9.0,-69.860,-66.834,-77.370,-80.655,-81.671,-82.476
10.0,-70.400,-67.468,-76.967,-81.133,-81.235,-82.339
11.0,-55.392,-59.145,-68.092,-70.411,-71.558,-73.981
12.0,-40.181,-45.279,-50.913,-53.862,-56.662,-58.406
13.0,-38.915,-42.658,-51.862,-55.521,-58.694,-61.054
14.0,-34.419,-39.536,-47.395,-50.497,-53.588,-56.672
15.0,-31.206,-36.715,-42.942,-46.749,-49.956,-52.784
16.0,-34.455,-38.666,-45.716,-49.047,-52.123,-54.352
17.0,-32.777,-40.566,-47.554,-51.285,-55.190,-57.709
18.0,-36.960,-44.389,-52.302,-56.039,-59.398,-61.853
19.0,-35.080,-39.659,-47.581,-50.335,-52.815,-55.482
20.0,-37.833,-41.013,-50.618,-54.219,-57.736,-60.758
21.0,-36.739,-42.022,-51.893,-55.783,-59.339,-61.605
22.0,-34.159,-39.340,-47.669,-50.973,-54.443,-57.246
23.0,-34.042,-40.101,-46.407,-50.506,-53.618,-56.042
24.0,-33.670,-38.072,-44.689,-47.863,-51.134,-53.694
25.0,-28.731,-35.693,-43.058,-46.625,-50.075,-52.887
26.0,-28.254,-33.544,-41.642,-45.136,-48.239,-50.752
27.0,-30.619,-35.251,-44.987,-48.775,-51.903,-54.473
28.0,-31.072,-36.715,-42.490,-44.801,-47.416,-49.201
29.0,-33.898,-38.391,-46.051,-49.443,-52.459,-55.029
30.0,-33.527,-37.832,-45.729,-49.254,-52.568,-55.479
31.0,-33.393,-37.996,-46.028,-49.271,-52.393,-55.143
32.0,-33.825,-38.059,-45.487,-48.618,-51.854,-54.757
33.0,-31.771,-36.109,-43.749,-46.385,-49.236,-51.921
34.0,-28.890,-32.608,-40.133,-43.042,-45.561,-48.165
35.0,-29.093,-33.294,-41.105,-44.273,-47.229,-50.287
36.0,-27.662,-33.031,-38.954,-42.187,-45.413,-48.147
37.0,-29.024,-33.368,-41.580,-45.166,-48.754,-51.819
38.0,-28.514,-32.321,-41.240,-44.709,-48.286,-51.245
39.0,-31.651,-35.700,-45.487,-49.217,-52.947,-56.102
40.0,-33.234,-38.490,-47.156,-50.405,-53.331,-56.012
41.0,-33.557,-37.786,-45.175,-48.299,-51.239,-53.623
42.0,-36.921,-41.096,-50.031,-53.662,-56.431,-58.931
43.0,-37.061,-41.553,-47.489,-50.414,-53.575,-55.931
44.0,-37.548,-41.309,-48.777,-51.688,-54.153,-57.208
45.0,-36.279,-40.446,-49.527,-52.584,-55.501,-58.211
46.0,-38.540,-43.008,-52.448,-56.021,-59.331,-62.061
47.0,-47.119,-50.030,-60.770,-64.442,-67.863,-69.801
48.0,-48.146,-53.664,-61.167,-64.900,-67.319,-69.006
49.0,-53.094,-59.342,-65.144,-67.873,-70.321,-71.450
50.0,-70.147,-66.935,-78.007,-81.430,-81.922,-83.162
51.0,-31.395,-36.823,-42.880,-49.174,-51.727,-54.305
52.0,-27.780,-31.492,-38.308,-42.900,-46.656,-49.150
53.0,-29.523,-32.323,-39.455,-43.329,-46.861,-49.580
54.0,-39.347,-43.779,-50.801,-54.664,-57.374,-60.139
55.0,-51.301,-55.456,-62.348,-65.157,-67.438,-69.855
56.0,-37.721,-43.527,-50.563,-54.812,-57.528,-59.518
57.0,-35.455,-39.231,-46.834,-49.509,-53.209,-55.966
58.0,-37.926,-41.545,-49.929,-53.522,-56.552,-58.818
59.0,-45.253,-49.426,-58.208,-61.428,-64.384,-66.749
60.0,-56.783,-59.384,-68.456,-73.319,-74.492,-75.742
61.0,-35.908,-43.097,-50.009,-53.608,-56.155,-58.165
62.0,-31.493,-36.574,-43.036,-46.553,-49.193,-52.156
63.0,-27.662,-32.131,-38.974,-42.431,-45.101,-47.276
64.0,-20.967,-26.158,-31.578,-34.488,-37.201,-39.971
65.0,-22.762,-26.863,-34.285,-37.816,-41.345,-44.203
66.0,-24.632,-29.775,-37.870,-41.458,-44.980,-47.845
67.0,-24.510,-28.804,-37.224,-41.092,-44.347,-47.225
68.0,-34.543,-38.132,-45.287,-48.301,-51.036,-53.773
69.0,-25.341,-29.775,-40.110,-43.000,-45.462,-49.307
70.0,-24.444,-28.809,-36.829,-39.903,-42.903,-45.755
71.0,-35.651,-38.840,-48.370,-51.381,-54.506,-57.099
72.0,-28.660,-32.816,-41.830,-44.878,-47.575,-50.328
73.0,-33.036,-36.331,-46.621,-50.193,-53.947,-56.692
74.0,-30.952,-36.412,-46.819,-50.511,-53.286,-56.493
75.0,-25.786,-30.181,-39.010,-42.613,-45.917,-48.959
76.0,-30.533,-33.146,-43.224,-46.801,-50.088,-52.742
77.0,-42.274,-46.052,-56.147,-61.140,-64.541,-67.330
78.0,-35.451,-40.093,-49.616,-51.883,-54.172,-57.076
79.0,-37.971,-41.160,-52.441,-56.353,-59.591,-62.089
80.0,-42.177,-47.292,-56.279,-59.773,-63.081,-66.334
81.0,-59.523,-61.219,-71.375,-75.357,-77.566,-78.704
82.0,-70.765,-68.552,-77.646,-80.881,-82.574,-83.342
83.0,-48.427,-54.447,-61.084,-65.106,-65.079,-67.029
84.0,-43.266,-47.187,-56.878,-60.632,-63.604,-66.690
