t_start_s,order0_dBFS,order1_dBFS,order2_dBFS,order3_dBFS,order4_dBFS,order5_dBFS
0.0,-43.573,-47.538,-57.368,-62.067,-64.257,-67.241
1.0,-40.797,-43.904,-51.347,-54.499,-57.242,-58.488
2.0,-36.296,-40.786,-52.006,-56.328,-60.005,-62.544
3.0,-38.302,-42.009,-52.316,-56.780,-60.325,-63.180
4.0,-35.295,-38.454,-50.391,-54.352,-58.119,-61.158
5.0,-35.339,-38.684,-48.492,-52.762,-56.324,-59.432
6.0,-36.014,-40.142,-50.997,-54.392,-58.794,-61.178
7.0,-34.904,-38.562,-48.321,-51.596,-54.957,-57.664
8.0,-32.509,-37.097,-46.473,-51.196,-55.518,-59.003
9.0,-32.988,-37.800,-46.015,-50.895,-54.803,-58.038
10.0,-33.605,-36.409,-47.181,-51.570,-55.172,-57.613
11.0,-30.120,-34.667,-42.820,-46.673,-50.156,-53.028
12.0,-27.395,-32.491,-39.367,-43.079,-46.609,-49.632
13.0,-28.608,-33.353,-40.820,-44.268,-47.124,-49.310
14.0,-29.648,-33.384,-43.158,-45.641,-47.728,-50.342
15.0,-31.502,-36.035,-44.360,-47.780,-50.560,-53.220
16.0,-32.995,-37.317,-46.045,-49.986,-53.389,-55.983
17.0,-35.219,-38.463,-47.422,-50.668,-54.100,-57.248
18.0,-33.199,-37.415,-46.210,-50.246,-53.636,-56.722
19.0,-34.726,-37.312,-47.786,-51.307,-54.544,-56.965
20.0,-40.754,-43.736,-53.795,-58.037,-61.577,-64.615
21.0,-36.338,-41.348,-50.999,-55.251,-58.854,-61.938
22.0,-32.261,-37.179,-46.809,-50.644,-54.018,-57.047
23.0,-35.159,-37.758,-47.722,-50.663,-53.627,-56.440
24.0,-35.398,-37.128,-46.718,-49.511,-52.249,-54.867
25.0,-34.669,-38.536,-48.639,-52.682,-56.019,-58.898
26.0,-37.527,-41.114,-50.742,-54.877,-58.662,-61.955
27.0,-35.231,-40.118,-49.631,-53.450,-56.652,-59.430
28.0,-34.590,-39.054,-47.283,-51.125,-54.716,-58.200
29.0,-33.575,-38.274,-46.559,-50.638,-54.347,-57.703
30.0,-39.271,-42.958,-52.370,-55.850,-59.501,-62.299
31.0,-39.891,-44.216,-52.813,-56.924,-60.447,-63.299
32.0,-40.762,-45.445,-55.289,-60.041,-63.843,-66.708
33.0,-42.737,-46.955,-56.910,-61.227,-65.059,-67.380
34.0,-35.428,-39.554,-48.805,-53.187,-56.601,-59.499
35.0,-29.920,-36.171,-43.804,-47.611,-50.899,-53.871
36.0,-26.803,-31.514,-38.932,-42.398,-45.792,-49.070
37.0,-25.749,-29.782,-37.026,-39.868,-43.290,-45.539
38.0,-29.496,-33.325,-41.409,-45.553,-48.857,-51.550
39.0,-32.142,-35.435,-45.540,-49.898,-53.977,-56.864
40.0,-33.906,-37.983,-47.424,-51.236,-54.484,-57.272
41.0,-31.632,-36.161,-44.342,-48.058,-51.442,-53.803
42.0,-30.882,-33.939,-42.804,-46.723,-50.395,-53.490
43.0,-27.918,-32.157,-39.461,-42.685,-45.810,-47.928
44.0,-26.516,-30.716,-38.983,-42.375,-46.020,-48.626
45.0,-26.014,-30.773,-38.772,-42.480,-45.997,-48.744
46.0,-23.834,-28.101,-36.118,-39.989,-43.285,-46.390
47.0,-23.354,-27.935,-34.334,-38.390,-42.026,-44.673
48.0,-25.668,-31.238,-38.190,-42.590,-46.256,-49.121
49.0,-30.036,-33.469,-43.732,-48.015,-51.965,-55.442
50.0,-33.492,-38.053,-47.535,-51.584,-54.839,-57.863
51.0,-32.166,-37.035,-42.917,-46.236,-49.350,-52.188
52.0,-29.040,-33.352,-40.322,-43.892,-47.622,-50.641
53.0,-28.511,-32.197,-40.511,-44.593,-48.128,-50.787
