t_start_s,order0_dBFS,order1_dBFS,order2_dBFS,order3_dBFS
0.0,-62.837,-65.986,-70.443,-71.310
1.0,-70.872,-68.457,-76.526,-79.252
2.0,-71.412,-69.033,-75.660,-79.845
3.0,-66.977,-67.765,-73.504,-75.443
4.0,-63.313,-65.613,-70.211,-71.767
5.0,-69.884,-62.634,-76.745,-78.199
6.0,-69.986,-61.607,-76.841,-78.290
7.0,-70.054,-62.960,-76.925,-78.362
8.0,-71.133,-66.076,-77.995,-79.432
9.0,-70.922,-68.009,-77.775,-79.158
10.0,-71.684,-68.993,-78.498,-79.864
11.0,-55.502,-59.592,-62.480,-63.969
12.0,-40.262,-45.232,-46.743,-48.705
13.0,-38.975,-42.632,-45.675,-47.460
14.0,-34.497,-39.617,-41.216,-42.967
15.0,-31.276,-36.807,-37.919,-39.729
16.0,-34.523,-38.651,-41.551,-42.979
17.0,-32.849,-40.681,-40.405,-41.181
18.0,-37.035,-44.420,-43.457,-45.432
19.0,-35.150,-39.654,-41.513,-43.604
20.0,-37.891,-41.081,-44.744,-46.361
21.0,-36.806,-42.194,-43.841,-45.248
22.0,-34.234,-39.536,-41.038,-42.682
23.0,-34.120,-40.203,-41.190,-42.526
24.0,-33.741,-38.056,-40.162,-42.202
25.0,-28.800,-35.727,-36.202,-37.139
26.0,-28.322,-33.618,-35.169,-36.786
27.0,-30.677,-35.313,-38.868,-39.044
28.0,-31.129,-36.763,-39.070,-39.491
29.0,-33.946,-38.379,-39.890,-42.460
30.0,-33.589,-37.910,-40.323,-42.022
31.0,-33.454,-38.065,-40.624,-41.900
32.0,-33.889,-38.278,-41.227,-42.334
33.0,-31.837,-36.257,-39.361,-40.236
34.0,-28.931,-32.661,-35.641,-37.387
35.0,-29.138,-33.335,-35.431,-37.636
36.0,-27.695,-33.047,-35.187,-36.212
37.0,-29.067,-33.377,-35.586,-37.560
38.0,-28.574,-32.312,-35.304,-37.026
39.0,-31.714,-35.776,-38.685,-40.138
40.0,-33.300,-38.572,-40.534,-41.698
41.0,-33.598,-37.836,-40.185,-42.150
42.0,-36.970,-41.113,-43.852,-45.431
43.0,-37.135,-41.546,-45.120,-45.502
44.0,-37.612,-41.395,-44.894,-46.042
45.0,-36.342,-40.515,-43.120,-44.821
46.0,-38.605,-43.076,-45.827,-47.062
47.0,-47.195,-49.999,-54.089,-55.653
48.0,-48.233,-53.709,-54.855,-56.707
49.0,-53.187,-59.350,-59.846,-61.673
50.0,-71.533,-67.985,-78.356,-79.822
51.0,-31.359,-36.872,-35.736,-40.692
52.0,-27.754,-31.476,-33.748,-36.258
53.0,-29.483,-32.295,-35.673,-38.143
54.0,-39.382,-43.774,-46.892,-47.819
55.0,-51.374,-55.516,-58.978,-59.777
56.0,-37.696,-43.538,-44.243,-46.428
57.0,-35.442,-39.257,-41.826,-44.143
58.0,-37.913,-41.538,-43.209,-46.614
59.0,-45.319,-49.410,-51.968,-53.778
60.0,-56.900,-59.422,-63.564,-65.348
61.0,-35.931,-43.105,-45.751,-44.230
62.0,-31.533,-36.550,-40.002,-39.952
63.0,-27.712,-32.185,-33.783,-36.229
64.0,-21.035,-26.219,-28.421,-29.428
65.0,-22.809,-26.887,-28.630,-31.279
66.0,-24.673,-29.852,-31.922,-33.091
67.0,-24.565,-28.824,-33.382,-32.866
68.0,-34.604,-38.192,-42.406,-42.950
69.0,-25.392,-29.814,-32.056,-33.865
70.0,-24.485,-28.791,-30.873,-32.951
71.0,-35.730,-38.810,-42.457,-44.167
72.0,-28.711,-32.898,-35.851,-37.143
73.0,-33.090,-36.301,-40.180,-41.576
74.0,-31.002,-36.335,-37.730,-39.510
75.0,-25.830,-30.171,-32.405,-34.287
76.0,-30.580,-33.084,-36.919,-39.036
77.0,-42.327,-45.995,-49.525,-50.825
78.0,-35.515,-40.230,-42.604,-43.954
79.0,-38.030,-41.174,-45.117,-46.492
80.0,-42.240,-47.184,-48.919,-50.768
81.0,-59.733,-61.641,-66.942,-68.182
82.0,-71.847,-69.440,-78.693,-80.123
83.0,-48.513,-54.460,-55.141,-56.982
84.0,-43.335,-47.274,-50.271,-51.812
85.0,-42.571,-46.180,-49.673,-51.032
86.0,-33.197,-38.097,-40.180,-41.586
87.0,-31.632,-38.313,-38.677,-40.017
88.0,-38.407,-42.797,-44.933,-46.846
89.0,-38.248,-42.942,-44.917,-46.694
90.0,-34.214,-40.163,-41.172,-42.611
91.0,-36.620,-41.931,-43.424,-45.028
92.0,-41.623,-44.481,-48.219,-50.071
93.0,-34.738,-37.349,-41.704,-43.135
94.0,-27.650,-34.676,-35.555,-35.959
95.0,-34.996,-39.739,-42.377,-43.358
96.0,-36.955,-41.769,-44.306,-45.336
97.0,-32.996,-39.058,-42.096,-41.334
98.0,-36.133,-40.361,-43.629,-44.598
99.0,-45.315,-49.386,-52.345,-53.735
100.0,-55.571,-60.577,-63.694,-63.991
101.0,-70.672,-68.495,-77.565,-78.897
102.0,-49.789,-53.252,-56.612,-58.201
103.0,-41.168,-46.193,-48.978,-49.525
104.0,-33.797,-39.104,-42.136,-42.148
105.0,-34.089,-38.688,-41.494,-42.545
106.0,-32.914,-37.592,-40.944,-41.307
107.0,-35.304,-40.114,-42.365,-43.695
108.0,-36.150,-39.231,-40.921,-44.813
109.0,-36.757,-41.646,-43.120,-45.203
110.0,-36.774,-42.616,-44.150,-45.236
111.0,-34.130,-39.364,-41.100,-42.577
112.0,-35.377,-40.425,-41.974,-43.825
113.0,-35.552,-40.004,-42.050,-44.017
114.0,-33.325,-36.177,-39.859,-41.756
115.0,-30.161,-34.525,-35.609,-38.762
116.0,-28.787,-33.171,-35.235,-37.237
117.0,-31.757,-35.420,-35.754,-40.281
118.0,-35.749,-40.020,-40.743,-44.329
119.0,-32.314,-37.147,-38.531,-40.839
120.0,-33.101,-36.656,-39.711,-41.549
121.0,-32.223,-36.527,-38.290,-40.649
122.0,-28.504,-33.745,-35.681,-36.961
123.0,-27.208,-30.850,-32.318,-35.767
124.0,-27.841,-31.738,-34.493,-36.246
125.0,-23.065,-27.880,-29.683,-31.527
126.0,-24.852,-30.435,-31.660,-33.344
127.0,-25.190,-30.568,-32.298,-33.665
128.0,-27.840,-31.715,-33.756,-36.315
129.0,-28.169,-31.411,-35.275,-36.580
130.0,-30.284,-33.207,-36.932,-38.760
131.0,-28.124,-32.635,-34.987,-36.534
132.0,-28.232,-32.337,-34.577,-36.720
133.0,-28.886,-33.688,-34.885,-37.423
134.0,-32.218,-37.203,-39.493,-40.609
135.0,-35.680,-40.175,-43.439,-44.046
136.0,-36.349,-41.580,-43.330,-44.901
137.0,-40.305,-44.570,-46.687,-48.752
138.0,-34.529,-39.232,-41.082,-42.985
139.0,-34.874,-39.381,-41.664,-43.381
140.0,-37.091,-41.492,-43.829,-45.567
141.0,-43.622,-47.322,-50.383,-52.086
142.0,-49.546,-51.743,-56.314,-58.017
143.0,-57.690,-59.080,-64.562,-66.134
144.0,-68.572,-66.854,-75.440,-76.863
145.0,-42.005,-47.991,-49.284,-51.407
146.0,-33.468,-37.979,-39.709,-42.172
147.0,-32.709,-37.284,-40.865,-41.067
148.0,-40.172,-45.087,-48.249,-48.531
149.0,-47.120,-51.418,-53.346,-55.544
