t_start_s,order0_dBFS,order1_dBFS,order2_dBFS,order3_dBFS
0.0,-43.642,-47.532,-50.379,-52.128
1.0,-40.855,-44.016,-47.659,-49.342
2.0,-36.358,-40.926,-43.211,-44.817
3.0,-38.361,-42.109,-45.250,-46.851
4.0,-35.346,-38.500,-42.001,-43.870
5.0,-35.385,-38.678,-41.938,-43.909
6.0,-36.075,-40.228,-42.660,-44.554
7.0,-34.954,-38.693,-41.781,-43.433
8.0,-32.567,-37.153,-39.349,-41.041
9.0,-33.040,-37.855,-39.827,-41.561
10.0,-33.649,-36.387,-40.410,-42.167
11.0,-30.191,-34.757,-36.775,-38.626
12.0,-27.470,-32.551,-34.205,-35.900
13.0,-28.633,-33.355,-34.002,-37.250
14.0,-29.675,-33.363,-33.234,-38.365
15.0,-31.562,-36.142,-38.089,-40.033
16.0,-33.061,-37.363,-40.194,-41.487
17.0,-35.281,-38.552,-42.222,-43.719
18.0,-33.256,-37.482,-40.246,-41.709
19.0,-34.794,-37.360,-41.141,-43.286
20.0,-40.819,-43.749,-46.163,-49.268
21.0,-36.400,-41.467,-43.455,-44.866
22.0,-32.319,-37.318,-39.296,-40.799
23.0,-35.217,-37.768,-41.857,-43.701
24.0,-35.461,-37.139,-41.877,-43.960
25.0,-34.734,-38.562,-41.596,-43.188
26.0,-37.595,-41.213,-44.342,-46.068
27.0,-35.293,-40.099,-42.166,-43.781
28.0,-34.654,-39.065,-41.477,-43.145
29.0,-33.639,-38.494,-40.214,-42.141
30.0,-39.331,-43.177,-45.829,-47.819
31.0,-39.971,-44.274,-46.833,-48.403
32.0,-40.832,-45.427,-47.666,-49.296
33.0,-42.799,-47.104,-49.443,-51.279
34.0,-35.476,-39.589,-40.783,-43.931
35.0,-29.979,-36.227,-37.717,-38.338
36.0,-26.850,-31.565,-34.614,-35.274
37.0,-25.758,-29.786,-30.579,-34.434
38.0,-29.527,-33.351,-35.889,-38.105
39.0,-32.202,-35.466,-39.401,-40.649
40.0,-33.957,-38.002,-40.926,-42.408
41.0,-31.703,-36.220,-38.300,-40.137
42.0,-30.935,-34.003,-38.019,-39.362
43.0,-27.988,-32.248,-34.941,-36.399
44.0,-26.543,-30.751,-32.522,-35.015
45.0,-26.031,-30.792,-33.351,-34.454
46.0,-23.867,-28.123,-30.857,-32.310
47.0,-23.303,-27.939,-29.645,-31.949
