t_start_s,order0_dBFS,order1_dBFS,order2_dBFS,order3_dBFS
0.0,-63.673,-78.808,-87.491,-89.056
1.0,-64.256,-79.159,-87.597,-89.095
2.0,-64.351,-79.073,-87.341,-89.101
3.0,-56.065,-67.744,-85.517,-88.717
4.0,-38.618,-46.995,-66.546,-75.200
5.0,-37.352,-44.745,-64.275,-77.257
6.0,-32.507,-42.481,-59.248,-71.871
7.0,-26.822,-36.924,-54.344,-65.482
8.0,-30.895,-39.433,-57.478,-66.769
9.0,-31.580,-41.682,-57.513,-65.729
10.0,-33.225,-43.537,-58.538,-69.512
11.0,-31.960,-42.083,-60.785,-72.959
12.0,-32.176,-41.054,-59.402,-72.674
13.0,-33.339,-43.616,-61.815,-75.240
14.0,-32.041,-43.934,-63.346,-77.630
15.0,-28.402,-38.640,-57.491,-67.668
16.0,-30.751,-39.489,-56.002,-63.366
17.0,-27.411,-36.908,-52.033,-60.198
18.0,-24.388,-34.214,-51.076,-60.408
19.0,-29.224,-38.024,-52.285,-62.060
20.0,-29.090,-35.243,-49.404,-57.762
21.0,-31.561,-39.832,-56.388,-66.003
22.0,-30.042,-37.734,-52.179,-64.273
23.0,-30.275,-39.404,-54.849,-67.711
24.0,-31.042,-38.852,-56.516,-69.760
25.0,-28.192,-38.444,-53.585,-64.249
26.0,-26.614,-34.152,-48.391,-56.832
27.0,-25.736,-34.250,-47.302,-56.736
28.0,-27.643,-33.982,-44.646,-54.574
29.0,-26.415,-34.930,-44.869,-54.812
30.0,-23.944,-33.431,-48.355,-56.398
31.0,-26.459,-35.088,-49.986,-57.927
32.0,-29.771,-40.000,-53.772,-64.596
33.0,-30.659,-39.328,-53.914,-65.949
34.0,-35.196,-42.294,-56.913,-69.628
35.0,-35.052,-42.642,-61.450,-73.510
36.0,-34.638,-42.774,-60.318,-75.149
37.0,-30.999,-41.249,-58.628,-72.878
38.0,-33.206,-43.877,-61.812,-76.706
39.0,-39.544,-49.876,-73.589,-86.379
40.0,-43.801,-54.345,-75.270,-88.294
41.0,-47.085,-58.534,-80.243,-88.603
42.0,-63.054,-76.137,-87.397,-89.182
43.0,-34.215,-39.888,-43.012,-51.200
44.0,-27.224,-35.146,-41.618,-49.352
45.0,-27.026,-32.220,-37.058,-47.921
46.0,-36.675,-44.096,-51.316,-59.984
47.0,-46.422,-52.847,-64.980,-76.003
48.0,-38.614,-45.118,-50.664,-62.007
49.0,-33.017,-41.267,-48.227,-61.492
50.0,-33.940,-42.494,-50.356,-63.235
51.0,-41.305,-49.767,-64.307,-76.892
52.0,-50.081,-56.919,-74.304,-86.843
53.0,-41.800,-49.532,-56.522,-74.416
54.0,-31.639,-37.384,-46.115,-60.333
55.0,-26.443,-34.902,-47.585,-57.965
56.0,-19.714,-27.857,-41.862,-49.994
57.0,-18.772,-26.852,-40.872,-48.582
58.0,-21.581,-30.835,-41.972,-49.977
59.0,-22.155,-28.721,-42.538,-50.656
60.0,-27.920,-36.499,-51.020,-60.606
61.0,-21.516,-32.114,-46.222,-52.858
62.0,-21.018,-29.874,-42.351,-49.474
63.0,-29.655,-35.798,-51.195,-57.437
64.0,-25.122,-35.296,-48.780,-58.629
65.0,-27.376,-35.133,-51.492,-59.395
66.0,-37.513,-47.587,-64.131,-74.303
67.0,-20.977,-31.467,-44.608,-51.863
68.0,-25.317,-32.938,-46.604,-53.553
69.0,-34.440,-42.522,-58.469,-65.327
70.0,-31.531,-42.222,-57.590,-71.020
71.0,-32.725,-41.415,-59.520,-71.811
72.0,-36.279,-47.126,-66.961,-78.871
73.0,-50.592,-59.204,-76.902,-86.689
74.0,-64.483,-79.126,-87.625,-89.213
75.0,-45.395,-56.350,-74.563,-87.285
76.0,-41.172,-51.614,-74.997,-86.478
77.0,-37.376,-47.136,-67.597,-83.764
78.0,-31.346,-40.399,-60.448,-71.793
79.0,-27.516,-37.558,-54.550,-63.799
80.0,-33.882,-42.369,-63.198,-71.733
81.0,-35.868,-44.499,-65.364,-76.064
82.0,-30.202,-40.734,-59.638,-71.144
83.0,-32.732,-42.588,-62.271,-73.951
84.0,-35.121,-43.489,-65.980,-77.467
85.0,-32.331,-39.738,-58.541,-66.939
86.0,-25.878,-34.229,-50.083,-58.152
87.0,-30.266,-38.384,-55.570,-67.185
88.0,-34.550,-43.356,-62.317,-74.287
89.0,-31.404,-39.352,-53.664,-65.394
90.0,-32.960,-41.097,-56.423,-69.273
91.0,-42.030,-48.092,-65.996,-79.824
92.0,-50.529,-57.791,-74.700,-86.637
93.0,-62.347,-75.888,-86.580,-88.990
94.0,-57.504,-66.775,-86.022,-88.820
95.0,-45.175,-50.375,-60.763,-78.021
96.0,-34.387,-41.253,-56.727,-69.790
97.0,-33.209,-39.682,-54.436,-68.339
98.0,-31.770,-38.582,-50.391,-64.872
99.0,-32.754,-41.052,-55.014,-68.756
100.0,-33.139,-40.435,-48.459,-61.815
101.0,-34.013,-42.917,-58.336,-71.209
102.0,-35.347,-43.535,-55.339,-71.813
103.0,-30.675,-40.540,-58.399,-72.733
104.0,-31.045,-41.286,-59.824,-72.957
105.0,-34.290,-40.995,-54.305,-68.153
106.0,-33.388,-39.241,-52.964,-62.447
107.0,-29.430,-36.509,-47.410,-57.595
108.0,-25.792,-33.903,-46.258,-55.640
109.0,-27.138,-35.591,-48.020,-57.634
110.0,-33.494,-41.142,-47.071,-58.163
111.0,-30.462,-38.834,-49.545,-62.065
112.0,-30.880,-37.632,-49.573,-62.097
113.0,-30.138,-37.374,-51.009,-59.603
114.0,-25.394,-35.540,-51.136,-60.000
115.0,-23.512,-32.165,-45.059,-55.316
116.0,-25.676,-32.718,-44.394,-53.568
117.0,-19.650,-28.743,-38.914,-50.144
118.0,-21.878,-31.787,-45.016,-52.421
119.0,-21.208,-31.419,-45.467,-54.426
120.0,-23.126,-32.180,-46.357,-55.937
121.0,-25.156,-31.469,-44.300,-54.129
122.0,-26.073,-33.729,-48.701,-57.691
123.0,-26.377,-33.873,-45.826,-57.125
124.0,-26.140,-33.312,-43.822,-55.945
125.0,-25.357,-34.677,-45.591,-57.709
126.0,-27.849,-37.452,-48.554,-60.171
127.0,-31.239,-40.362,-49.756,-61.132
128.0,-33.306,-42.645,-54.600,-63.629
129.0,-37.083,-45.410,-57.712,-65.948
130.0,-32.016,-40.818,-59.581,-70.435
131.0,-30.361,-40.459,-57.649,-68.812
132.0,-31.489,-41.589,-58.077,-70.666
133.0,-37.092,-47.320,-64.974,-76.450
134.0,-43.265,-53.060,-76.080,-87.624
135.0,-48.642,-58.807,-83.123,-88.573
136.0,-59.342,-71.267,-86.264,-88.902
137.0,-62.521,-78.534,-87.785,-89.293
138.0,-33.309,-40.140,-43.899,-57.369
139.0,-30.141,-37.709,-49.173,-62.812
140.0,-37.633,-42.820,-56.539,-70.539
141.0,-41.179,-48.634,-61.120,-77.921
142.0,-25.711,-31.236,-34.912,-44.052
143.0,-26.627,-32.657,-38.194,-43.860
144.0,-25.314,-30.421,-37.058,-42.242
145.0,-34.961,-40.749,-48.902,-56.408
146.0,-43.542,-49.441,-59.172,-67.270
147.0,-34.288,-39.808,-46.379,-56.934
148.0,-27.959,-34.294,-39.450,-49.257
149.0,-23.337,-29.595,-35.301,-47.235
150.0,-19.653,-27.062,-34.416,-46.194
151.0,-20.952,-28.516,-39.028,-47.401
152.0,-19.964,-28.170,-41.522,-49.063
153.0,-26.368,-33.498,-46.437,-57.077
154.0,-23.673,-31.384,-45.718,-53.180
155.0,-21.609,-28.773,-44.303,-50.755
156.0,-31.534,-37.354,-53.391,-61.894
157.0,-22.697,-31.674,-46.398,-52.850
158.0,-25.002,-32.852,-48.323,-56.235
159.0,-38.067,-46.045,-62.218,-71.247
160.0,-34.721,-43.976,-66.215,-79.470
161.0,-31.216,-41.256,-59.446,-70.493
162.0,-32.516,-42.454,-63.079,-75.953
163.0,-53.727,-63.511,-81.145,-87.449
164.0,-35.152,-45.723,-67.594,-82.707
165.0,-35.712,-44.703,-66.999,-82.124
166.0,-45.752,-51.963,-76.816,-87.033
167.0,-59.801,-70.183,-86.931,-89.157
168.0,-63.239,-78.817,-87.778,-89.242
169.0,-37.846,-51.411,-72.465,-86.592
170.0,-37.271,-48.737,-68.501,-84.750
171.0,-34.693,-46.165,-67.264,-84.091
172.0,-31.964,-41.326,-58.732,-74.318
173.0,-29.636,-38.464,-54.608,-67.446
174.0,-29.135,-39.146,-56.680,-70.648
175.0,-31.931,-39.104,-56.700,-69.446
176.0,-29.546,-37.516,-51.176,-62.668
177.0,-28.243,-38.004,-52.664,-65.854
178.0,-29.387,-38.960,-55.840,-68.891
179.0,-28.168,-37.393,-52.778,-63.126
180.0,-26.640,-34.802,-49.794,-58.930
181.0,-26.104,-35.476,-50.331,-60.485
182.0,-25.478,-34.046,-48.085,-57.129
183.0,-26.142,-33.227,-44.897,-56.433
184.0,-26.606,-36.005,-49.366,-58.750
185.0,-29.530,-38.262,-52.885,-61.284
186.0,-30.637,-38.738,-53.838,-65.205
187.0,-32.113,-40.854,-55.776,-67.995
188.0,-31.948,-41.585,-58.518,-70.193
189.0,-33.031,-42.839,-59.783,-74.044
190.0,-30.979,-41.196,-59.638,-76.104
191.0,-32.350,-41.305,-57.541,-66.320
192.0,-29.609,-38.897,-54.334,-63.515
193.0,-28.124,-37.538,-54.123,-63.517
194.0,-25.995,-34.450,-49.835,-58.524
195.0,-27.447,-35.707,-49.085,-58.686
196.0,-23.177,-31.817,-48.442,-56.047
197.0,-23.580,-31.967,-44.950,-52.349
198.0,-25.486,-33.052,-43.742,-52.640
199.0,-21.508,-31.683,-45.108,-52.992
200.0,-23.436,-31.548,-42.863,-50.234
201.0,-24.133,-32.511,-45.369,-54.315
202.0,-20.847,-30.654,-44.396,-52.837
203.0,-25.603,-35.616,-48.062,-56.543
204.0,-36.210,-43.037,-56.658,-68.905
205.0,-31.004,-39.912,-59.414,-70.251
206.0,-28.318,-37.476,-55.644,-63.698
207.0,-27.564,-36.852,-55.633,-64.467
208.0,-28.761,-37.397,-54.679,-62.962
209.0,-23.303,-32.970,-50.164,-57.059
210.0,-26.260,-34.019,-51.518,-59.865
211.0,-24.715,-33.428,-49.319,-56.244
212.0,-22.489,-31.666,-48.785,-56.216
213.0,-25.210,-33.231,-49.895,-57.169
214.0,-32.308,-40.513,-58.234,-69.329
215.0,-36.234,-44.355,-61.731,-75.731
216.0,-30.497,-39.929,-55.696,-66.282
217.0,-28.446,-37.743,-52.472,-60.478
218.0,-28.838,-36.009,-50.276,-57.810
219.0,-28.510,-37.385,-52.443,-62.307
220.0,-27.607,-35.631,-51.559,-57.912
221.0,-26.502,-34.012,-49.269,-56.059
222.0,-25.186,-34.081,-48.689,-56.915
223.0,-24.593,-31.596,-45.275,-51.570
224.0,-23.119,-31.350,-46.165,-52.782
225.0,-19.784,-30.167,-44.530,-51.380
226.0,-21.879,-31.898,-45.025,-51.896
227.0,-21.877,-32.081,-46.886,-55.491
