t_start_s,order0_dBFS,order1_dBFS,order2_dBFS,order3_dBFS
0.0,-59.012,-75.153,-87.677,-89.340
1.0,-55.513,-67.461,-82.557,-86.206
2.0,-62.164,-78.392,-86.562,-88.300
3.0,-64.011,-78.135,-86.631,-88.460
4.0,-63.986,-78.839,-87.800,-89.317
5.0,-63.080,-79.291,-87.787,-89.327
6.0,-63.197,-78.834,-87.793,-89.384
7.0,-38.374,-50.899,-73.982,-85.759
8.0,-36.678,-48.536,-70.377,-85.447
9.0,-35.206,-45.236,-63.497,-76.793
10.0,-30.480,-41.831,-59.449,-71.322
11.0,-32.795,-43.603,-61.770,-73.118
12.0,-30.325,-39.863,-58.247,-68.498
13.0,-31.272,-39.797,-56.138,-66.395
14.0,-31.149,-42.184,-59.639,-70.110
15.0,-29.635,-39.865,-55.593,-66.439
16.0,-27.019,-38.230,-54.179,-64.024
17.0,-27.363,-38.564,-55.884,-65.395
18.0,-29.466,-38.073,-53.993,-62.878
19.0,-25.300,-35.071,-51.435,-61.884
20.0,-23.081,-32.888,-49.575,-57.572
21.0,-28.596,-34.915,-46.080,-57.155
22.0,-28.762,-34.946,-46.664,-59.863
23.0,-26.934,-36.475,-52.101,-63.287
24.0,-28.816,-38.881,-54.339,-64.473
25.0,-29.486,-39.336,-55.360,-66.317
26.0,-27.951,-38.918,-53.517,-63.421
27.0,-30.892,-38.650,-56.974,-66.714
28.0,-36.940,-44.248,-60.711,-74.222
29.0,-30.901,-42.782,-59.500,-72.326
30.0,-27.138,-39.450,-53.918,-65.594
31.0,-30.804,-38.114,-55.589,-64.158
32.0,-32.802,-38.660,-55.547,-63.602
33.0,-30.116,-39.804,-57.130,-67.942
34.0,-31.710,-42.935,-60.714,-71.676
35.0,-30.083,-41.711,-58.008,-69.187
36.0,-29.921,-40.462,-56.141,-67.302
37.0,-28.628,-40.209,-56.682,-69.238
38.0,-34.859,-44.544,-63.300,-76.194
39.0,-34.839,-45.906,-65.674,-79.224
40.0,-35.593,-47.310,-67.085,-81.918
41.0,-37.930,-49.633,-67.897,-82.093
42.0,-33.296,-39.697,-54.398,-65.438
43.0,-28.181,-36.545,-49.820,-58.509
44.0,-25.499,-32.223,-45.485,-54.326
45.0,-24.455,-31.036,-40.581,-52.678
46.0,-28.035,-35.008,-46.748,-55.238
47.0,-29.090,-35.603,-48.969,-59.151
48.0,-30.868,-39.060,-56.879,-66.410
49.0,-27.784,-36.043,-52.647,-62.018
50.0,-27.805,-33.951,-49.139,-58.008
51.0,-23.840,-31.787,-47.976,-55.905
52.0,-24.565,-31.426,-41.721,-51.353
53.0,-24.428,-31.705,-41.283,-51.515
54.0,-22.992,-29.021,-38.799,-48.222
55.0,-22.972,-29.194,-34.656,-41.043
56.0,-25.414,-31.697,-38.280,-49.283
57.0,-27.513,-34.961,-45.677,-56.970
58.0,-32.138,-40.880,-51.029,-63.386
59.0,-27.717,-37.030,-54.628,-64.460
60.0,-24.347,-33.025,-48.042,-56.385
61.0,-25.287,-33.247,-48.472,-57.804
62.0,-23.460,-33.061,-50.382,-59.022
63.0,-24.262,-34.206,-49.443,-57.252
64.0,-22.441,-32.609,-45.973,-53.405
65.0,-22.096,-31.209,-46.067,-53.309
66.0,-19.872,-29.894,-43.251,-50.479
67.0,-21.832,-32.256,-43.830,-51.116
68.0,-20.987,-32.662,-43.910,-51.355
69.0,-20.250,-31.809,-44.469,-51.356
70.0,-20.055,-29.647,-41.718,-49.113
71.0,-22.140,-28.690,-39.199,-49.004
72.0,-23.600,-29.184,-34.863,-46.372
73.0,-26.997,-31.796,-37.506,-48.477
74.0,-26.578,-33.600,-47.416,-55.465
75.0,-26.247,-34.957,-50.931,-59.134
76.0,-24.983,-35.988,-51.097,-60.172
77.0,-30.516,-42.219,-57.011,-66.514
78.0,-33.773,-44.761,-58.626,-69.173
79.0,-28.817,-40.203,-54.518,-65.255
80.0,-34.211,-44.740,-60.242,-70.950
81.0,-32.428,-42.039,-58.530,-67.528
82.0,-37.926,-49.088,-64.265,-76.396
83.0,-32.363,-41.445,-58.299,-69.877
84.0,-33.676,-42.877,-58.591,-71.861
85.0,-31.951,-40.664,-56.298,-67.962
86.0,-30.979,-39.289,-54.366,-63.907
87.0,-28.350,-36.453,-52.281,-62.491
88.0,-31.091,-40.512,-55.990,-67.028
89.0,-26.277,-35.043,-43.498,-55.382
90.0,-27.603,-35.102,-48.742,-56.918
91.0,-26.419,-36.116,-51.378,-59.755
92.0,-25.834,-34.858,-53.130,-61.792
93.0,-30.291,-38.889,-52.660,-62.937
94.0,-27.735,-37.899,-49.723,-60.384
95.0,-26.358,-34.517,-49.554,-57.529
96.0,-29.993,-39.297,-54.575,-64.662
97.0,-28.019,-37.158,-51.890,-59.308
98.0,-27.624,-37.533,-53.698,-64.724
99.0,-31.186,-40.322,-49.723,-63.341
100.0,-30.050,-38.270,-52.563,-63.371
101.0,-29.222,-37.126,-53.147,-60.589
102.0,-25.735,-33.192,-46.375,-54.698
103.0,-28.957,-38.567,-54.161,-63.945
104.0,-24.193,-32.168,-41.671,-52.573
105.0,-24.576,-32.198,-45.014,-53.194
106.0,-23.756,-31.363,-46.249,-54.004
107.0,-22.307,-29.387,-35.290,-47.294
108.0,-24.768,-32.049,-39.504,-50.412
109.0,-21.791,-29.700,-41.845,-49.742
110.0,-24.047,-31.001,-41.886,-49.760
111.0,-23.686,-31.320,-41.535,-50.103
112.0,-22.905,-28.804,-41.347,-49.933
113.0,-22.972,-30.451,-43.640,-52.004
114.0,-26.853,-32.703,-46.173,-55.138
115.0,-28.731,-35.408,-51.235,-61.140
116.0,-30.756,-37.014,-53.388,-63.753
117.0,-31.090,-40.172,-57.728,-69.334
118.0,-31.053,-37.383,-51.788,-61.296
119.0,-27.245,-34.618,-48.953,-58.925
120.0,-25.756,-33.466,-49.305,-59.036
121.0,-31.185,-39.694,-55.670,-65.793
122.0,-29.008,-38.453,-54.644,-63.840
123.0,-31.263,-40.270,-55.252,-63.616
124.0,-26.016,-34.738,-49.147,-56.977
125.0,-27.191,-36.163,-50.569,-57.058
126.0,-26.721,-34.371,-48.846,-56.192
127.0,-24.103,-33.152,-47.856,-55.225
128.0,-21.250,-30.324,-44.568,-51.595
129.0,-21.645,-29.289,-42.626,-49.799
130.0,-21.800,-29.133,-40.614,-48.661
131.0,-18.495,-26.330,-38.222,-44.526
132.0,-20.911,-28.122,-36.870,-45.508
133.0,-19.878,-26.038,-34.925,-43.569
134.0,-16.897,-25.551,-34.789,-42.359
135.0,-30.194,-38.778,-49.079,-55.935
136.0,-18.477,-26.671,-39.168,-44.310
